SetID,Number,Variant,Theme,Subtheme,Year,Name,Minifigs,Pieces,UKPrice,USPrice,CAPrice,EUPrice,ImageURL,OwnedBy,WantedBy,PricePerBrick
25727,75144,1,Star Wars,Ultimate Collector Series,2017,Snowspeeder,2,1703,169.99,199.99,229.99,169.99,https://images.brickset.com/sets/images/75144-1.jpg,6541,3682,0.099817968
27237,10258,1,Creator Expert,Vehicles,2017,London Bus,,1686,109.99,139.99,179.99,119.99,https://images.brickset.com/sets/images/10258-1.jpg,5358,2611,0.065237248
27907,21042,1,Architecture,Landmark Series,2018,Statue of Liberty,,1685,89.99,119.99,139.99,99.99,https://images.brickset.com/sets/images/21042-1.jpg,3498,2016,0.053406528
27780,70655,1,Ninjago,Hunted,2018,Dragon Pit,9,1660,119.99,129.99,159.99,139.99,https://images.brickset.com/sets/images/70655-1.jpg,693,779,0.072283133
26659,70912,1,The LEGO Batman Movie,,2017,Arkham Asylum,13,1628,139.99,149.99,179.99,149.99,https://images.brickset.com/sets/images/70912-1.jpg,3106,2336,0.085988943
28440,42096,1,Technic,,2019,Porsche 911 RSR,,1580,139.99,149.99,199.99,149.99,https://images.brickset.com/sets/images/42096-1.jpg,1341,1489,0.088601266
28086,10717,1,Classic,,2018,Extra Large Brick Box,,1500,49.99,59.99,79.99,59.99,https://images.brickset.com/sets/images/10717-1.jpg,624,276,0.033326667
29238,BL19004,1,Miscellaneous,BrickLink AFOL Designer Set,2019,Wild West Saloon,,1496,,,,,https://images.brickset.com/sets/images/BL19004-1.jpg,186,437,0
29121,70425,1,Hidden Side,,2019,Newbury Haunted High School,,1474,109.99,129.99,159.99,119.99,https://images.brickset.com/sets/images/70425-1.jpg,111,1436,0.074620081
28959,10265,1,Creator Expert,Vehicles,2019,Ford Mustang,,1471,119.99,149.99,199.99,129.99,https://images.brickset.com/sets/images/10265-1.jpg,3445,2681,0.08157036
26699,70917,1,The LEGO Batman Movie,,2017,The Ultimate Batmobile,8,1456,139.99,139.99,159.99,129.99,https://images.brickset.com/sets/images/70917-1.jpg,3784,1949,0.096146978
26913,40174,1,Miscellaneous,Games,2017,LEGO Chess,,1450,45.99,54.99,69.99,54.99,https://images.brickset.com/sets/images/40174-1.jpg,1599,779,0.031717241
29242,BL19008,1,Miscellaneous,BrickLink AFOL Designer Set,2019,The LEGO Story,,1442,,,,,https://images.brickset.com/sets/images/BL19008-1.jpg,196,306,0
26959,70357,1,Nexo Knights,Season 4,2017,Knighton Castle,11,1426,109.99,129.99,159.99,129.99,https://images.brickset.com/sets/images/70357-1.jpg,658,574,0.077131837
26722,75190,1,Star Wars,The Last Jedi,2017,First Order Star Destroyer,7,1416,129.99,159.99,179.99,149.99,https://images.brickset.com/sets/images/75190-1.jpg,4529,2196,0.091800847
27502,75212,1,Star Wars,Solo,2018,Kessel Run Millennium Falcon,7,1414,149.99,169.99,199.99,169.99,https://images.brickset.com/sets/images/75212-1.jpg,3848,2080,0.106074965
24932,70617,1,The LEGO Ninjago Movie,,2017,Temple of the Ultimate Ultimate Weapon,8,1403,79.99,99.99,129.99,99.99,https://images.brickset.com/sets/images/70617-1.jpg,2504,1032,0.057013542
29240,BL19006,1,Miscellaneous,BrickLink AFOL Designer Set,2019,Eight Studs,,1393,,,,,https://images.brickset.com/sets/images/BL19006-1.jpg,74,179,0
26721,75189,1,Star Wars,The Last Jedi,2017,First Order Heavy Assault Walker,5,1376,129.99,149.99,169.99,139.99,https://images.brickset.com/sets/images/75189-1.jpg,4866,2347,0.094469477
29237,BL19003,1,Miscellaneous,BrickLink AFOL Designer Set,2019,Skyline Express,,1365,,,,,https://images.brickset.com/sets/images/BL19003-1.jpg,80,226,0
27831,76105,1,Marvel Super Heroes,Avengers: Age of Ultron,2018,The Hulkbuster: Ultron Edition,1,1363,119.99,119.99,149.99,129.99,https://images.brickset.com/sets/images/76105-1.jpg,3644,1995,0.088033749
29312,40346,1,Promotional,LEGOLAND,2019,LEGOLAND,,1336,,,,,https://images.brickset.com/sets/images/40346-1.jpg,302,977,0
26509,42064,1,Technic,,2017,Ocean Explorer,,1327,74.99,119.99,149.99,89.99,https://images.brickset.com/sets/images/42064-1.jpg,2105,1558,0.056510927
29239,BL19005,1,Miscellaneous,BrickLink AFOL Designer Set,2019,Isle of Peril,,1301,,,,,https://images.brickset.com/sets/images/BL19005-1.jpg,20,100,0
27829,10262,1,Creator Expert,Vehicles,2018,James Bond Aston Martin DB5,,1290,129.99,149.99,179.99,149.99,https://images.brickset.com/sets/images/10262-1.jpg,3600,2343,0.100767442
29236,BL19002,1,Miscellaneous,BrickLink AFOL Designer Set,2019,Antique Fire Engine,,1278,,,,,https://images.brickset.com/sets/images/BL19002-1.jpg,117,240,0
29075,41375,1,Friends,,2019,Heartlake City Amusement Pier,,1251,119.99,129.99,149.99,129.99,https://images.brickset.com/sets/images/41375-1.jpg,68,574,0.095915268
26802,60162,1,City,Jungle,2017,Jungle Air Drop Helicopter,7,1250,109.99,149.99,179.99,129.99,https://images.brickset.com/sets/images/60162-1.jpg,1034,1286,0.087992
27799,75220,1,Star Wars,Episode IV,2018,Sandcrawler,6,1239,109.99,139.99,159.99,129.99,https://images.brickset.com/sets/images/75220-1.jpg,2067,1820,0.088773204
27852,60198,1,City,Trains,2018,Cargo Train,6,1226,179.99,229.99,269.99,189.99,https://images.brickset.com/sets/images/60198-1.jpg,1917,1871,0.146810767
29087,70678,1,Ninjago,Secrets of the Forbidden Spinjitzu,2019,Castle of the Forsaken Emperor,7,1218,89.99,99.99,139.99,,https://images.brickset.com/sets/images/70678-1.jpg,88,633,0.073883415
28069,60200,1,City,Town,2018,Capital City,13,1211,119.99,149.99,179.99,129.99,https://images.brickset.com/sets/images/60200-1.jpg,1115,1962,0.099083402
29241,BL19007,1,Miscellaneous,BrickLink AFOL Designer Set,2019,Science Tower,,1204,,,,,https://images.brickset.com/sets/images/BL19007-1.jpg,112,237,0
27281,70632,1,The LEGO Ninjago Movie,,2017,Quake Mech,5,1202,79.99,89.99,99.99,79.99,https://images.brickset.com/sets/images/70632-1.jpg,1748,762,0.066547421
29037,21045,1,Architecture,Landmark Series,2019,Trafalgar Square,,1197,79.99,79.99,99.99,79.99,https://images.brickset.com/sets/images/21045-1.jpg,548,1530,0.066825397
28448,70835,1,The Lego Movie 2: The Second Part,,2019,Rex's Rexplorer!,2,1187,109.99,119.99,159.99,119.99,https://images.brickset.com/sets/images/70835-1.jpg,594,1161,0.092662174
27781,70654,1,Ninjago,Hunted,2018,Dieselnaut,7,1179,89.99,109.99,139.99,99.99,https://images.brickset.com/sets/images/70654-1.jpg,916,702,0.076327396
